Hospital Name,AT&T,FirstNet
Kwajalein Hospital,0,0
Wilma N. Vazquez Medical Center,6,0
Hospital San Francisco,23,0
HIMA San Pablo Caguas,22,0
Hospital Buen Samaritano,2,0
Cardiovascular Center of Puerto Rico and the Caribbean,40,0
Hospital Manati Medical Center,9,0
Hospital Metropolitano San German,1,0
Encompass Health Rehabilitation Hospital of San Juan,25,0
Hospital San Carlos Borromeo,4,0
Hospital Menonita Ponce,0,0
Hospital Pavia Arecibo,9,0
Hospital Metropolitano Dr. Susoni,9,0
University Hospital PR,31,0
Bayamon Medical Center,30,0
Hospital San Pablo,48,0
Castaner General Hospital,0,0
Hospital Menonita De Cayey,5,0
Hospital Metropolitano,31,0
Hospital San Pablo Del Este HIMA Fajardo,6,0
Doctor's Center of Bayamon,30,0
Encompass Health Rehabilitation Hospital of Manati,8,0
Hospital Menonita Guayama,2,0
Auxilio Mutuo Hospital,71,0
Hospital Del Maestro,73,0
Hospital Menonita Humacao,2,0
Hospital HIMA de Humacao,8,0
Ryder Memorial Hospital,6,0
Hospital Pavia Yauco,1,0
Mennonite General Hospital,1,0
Hospital Perea,53,0
Bella Vista Hospital,0,0
Dr. Pila's Hospital,0,0
Hospital De Damas,5,0
St. Luke's Episcopal Hospital,8,0
Mayagüez Medical Center,4,0
Hospital Universitario Dr. Ramon Ruiz Arnau,6,0
Hospital de Psiquiatria,40,0
Doctors Center Manati,9,0
Hospital De La Concepcion,1,0
Hospital Psiquiatrico Metropolitano,5,0
Ashford Presbyterian Community Hospital,32,0
Professional Hospital Guaynabo,15,0
San Juan City Hospital,27,0
Metropolitano De La Montana,2,0
Hospital Menonita De Caguas,15,0
Hospital Episcopal San Lucas Metro,22,0
Hospital San Antonio,58,0
Hospital de Psiquiatria Forense,7,0
Veterans Affairs Caribbean Healthcare System,31,0
San Juan Capestrano Hospital,25,0
Doctors' Center Hospital San Juan,45,0
"Hospital Centro Comprensivo de Cáncer, Universidad de Puerto Rico",36,0
Hospital de la Universidad de Puerto Rico/Dr. Federico Trilla,14,0
Multy Medical Rehabilitation Hospital San Juan,47,0
Hospital Pavia-Hato Rey,67,0
Hospital Pavia-Santurce,52,0
San Jorge Children's and Women Hospital,48,0
I. Gonzalez Martinez Oncologic Hospital,18,0
Industrial Hospital,40,0
First Hospital Panamericano,4,0
University Pediatric Hospital,18,0
Caribbean Medical Center,8,0
Centro De Salud Conductual Menonita-CIMA,1,0
Hospital Psiquiatrico Correccional,53,0
Hospital Cuidado Agudo Especializado En Pacientes Politraumatizados,58,0
Schneider Regional Medical Center,22,0
Governor Juan F. Luis Hospital,7,0
Guam Memorial Hospital Authority,0,0
U. S. Naval Hospital Guam,0,0
Guam Regional Medical City,0,0
Lyndon B. Johnson Tropical Medical Center,0,0
Commonwealth Health Center,0,0
Northern Light Acadia Hospital,6,0
Mid Coast Hospital,2,0
Northern Light Mercy Hospital,9,0
Riverview Psychiatric Center,3,0
Dorothea Dix Psychiatric Center,0,0
Northern Light Eastern Maine Medical Center,4,0
St. Joseph Hospital ME,2,0
Mount Desert Island Hospital,7,0
Waldo County General Hospital,0,0
Northern Light Blue Hill Hospital,1,0
Bridgton Hospital,2,0
Calais Community Hospital,0,0
Cary Medical Center,0,0
Northern Light Mayo Hospital,0,0
Northern Light Maine Coast Hospital,4,0
Franklin Memorial Hospital,10,0
Northern Maine Medical Center,0,0
Northern Light CA Dean Hospital,1,0
Houlton Regional Hospital,0,0
LincolnHealth,1,0
Central Maine Medical Center,5,0
Southern Maine Health Care - Biddeford Medical Center,6,0
St. Mary's Regional Medical Center ME,2,0
Down East Community Hospital,1,0
Millinocket Regional Hospital,0,0
Stephens Memorial Hospital ME,0,0
Penobscot Valley Hospital,0,0
Northern Light Sebasticook Valley Hospital,0,0
Maine Medical Center,24,0
New England Rehabilitation Hospital of Portland,2,0
Northern Light AR Gould Hospital,0,0
Pen Bay Medical Center,0,0
Rumford Hospital,0,0
Redington-Fairview General Hospital,0,0
Maine Veterans Affairs Medical Center,0,0
