Hospital Name,Verizon
Kwajalein Hospital,0
Wilma N. Vazquez Medical Center,0
Hospital San Francisco,0
HIMA San Pablo Caguas,0
Hospital Buen Samaritano,0
Cardiovascular Center of Puerto Rico and the Caribbean,0
Hospital Manati Medical Center,0
Hospital Metropolitano San German,0
Encompass Health Rehabilitation Hospital of San Juan,0
Hospital San Carlos Borromeo,0
Hospital Menonita Ponce,0
Hospital Pavia Arecibo,0
Hospital Metropolitano Dr. Susoni,0
University Hospital PR,0
Bayamon Medical Center,0
Hospital San Pablo,0
Castaner General Hospital,0
Hospital Menonita De Cayey,0
Hospital Metropolitano,0
Hospital San Pablo Del Este HIMA Fajardo,0
Doctor's Center of Bayamon,0
Encompass Health Rehabilitation Hospital of Manati,0
Hospital Menonita Guayama,0
Auxilio Mutuo Hospital,0
Hospital Del Maestro,0
Hospital Menonita Humacao,0
Hospital HIMA de Humacao,0
Ryder Memorial Hospital,0
Hospital Pavia Yauco,0
Mennonite General Hospital,0
Hospital Perea,0
Bella Vista Hospital,0
Dr. Pila's Hospital,0
Hospital De Damas,0
St. Luke's Episcopal Hospital,0
Mayagüez Medical Center,0
Hospital Universitario Dr. Ramon Ruiz Arnau,0
Hospital de Psiquiatria,0
Doctors Center Manati,0
Hospital De La Concepcion,0
Hospital Psiquiatrico Metropolitano,0
Ashford Presbyterian Community Hospital,0
Professional Hospital Guaynabo,0
San Juan City Hospital,0
Metropolitano De La Montana,0
Hospital Menonita De Caguas,0
Hospital Episcopal San Lucas Metro,0
Hospital San Antonio,0
Hospital de Psiquiatria Forense,0
Veterans Affairs Caribbean Healthcare System,0
San Juan Capestrano Hospital,0
Doctors' Center Hospital San Juan,0
"Hospital Centro Comprensivo de Cáncer, Universidad de Puerto Rico",0
Hospital de la Universidad de Puerto Rico/Dr. Federico Trilla,0
Multy Medical Rehabilitation Hospital San Juan,0
Hospital Pavia-Hato Rey,0
Hospital Pavia-Santurce,0
San Jorge Children's and Women Hospital,0
I. Gonzalez Martinez Oncologic Hospital,0
Industrial Hospital,0
First Hospital Panamericano,0
University Pediatric Hospital,0
Caribbean Medical Center,0
Centro De Salud Conductual Menonita-CIMA,0
Hospital Psiquiatrico Correccional,0
Hospital Cuidado Agudo Especializado En Pacientes Politraumatizados,0
Schneider Regional Medical Center,0
Governor Juan F. Luis Hospital,0
Guam Memorial Hospital Authority,4
U. S. Naval Hospital Guam,3
Guam Regional Medical City,10
Lyndon B. Johnson Tropical Medical Center,0
Commonwealth Health Center,21
Northern Light Acadia Hospital,4
Mid Coast Hospital,0
Northern Light Mercy Hospital,6
Riverview Psychiatric Center,0
Dorothea Dix Psychiatric Center,2
Northern Light Eastern Maine Medical Center,3
St. Joseph Hospital ME,2
Mount Desert Island Hospital,9
Waldo County General Hospital,2
Northern Light Blue Hill Hospital,0
Bridgton Hospital,0
Calais Community Hospital,0
Cary Medical Center,0
Northern Light Mayo Hospital,1
Northern Light Maine Coast Hospital,1
Franklin Memorial Hospital,6
Northern Maine Medical Center,0
Northern Light CA Dean Hospital,1
Houlton Regional Hospital,4
LincolnHealth,0
Central Maine Medical Center,3
Southern Maine Health Care - Biddeford Medical Center,0
St. Mary's Regional Medical Center ME,1
Down East Community Hospital,0
Millinocket Regional Hospital,2
Stephens Memorial Hospital ME,1
Penobscot Valley Hospital,0
Northern Light Sebasticook Valley Hospital,2
Maine Medical Center,3
New England Rehabilitation Hospital of Portland,1
Northern Light AR Gould Hospital,0
Pen Bay Medical Center,1
Rumford Hospital,2
Redington-Fairview General Hospital,3
Maine Veterans Affairs Medical Center,1
MaineGeneral Medical Center,1
Northern Light Inland Hospital,3
Spring Harbor Hospital,0
York Hospital,0
Portsmouth Regional Hospital,7
Encompass Health Rehabilitation Hospital of Concord,5
Androscoggin Valley Hospital,0
Valley Regional Hospital,0
Upper Connecticut Valley Hospital,0
Concord Hospital,4
New Hampshire Hospital,6
Wentworth-Douglass Hospital,0
Parkland Medical Center,1
Exeter Hospital,1
Concord Hospital - Franklin,0
