,Hospital Name,Nearby Cell Towers
0,Kwajalein Hospital,0
1,Wilma N. Vazquez Medical Center,7
2,Hospital San Francisco,111
3,HIMA San Pablo Caguas,94
4,Hospital Buen Samaritano,9
5,Cardiovascular Center of Puerto Rico and the Caribbean,146
6,Hospital Manati Medical Center,33
7,Hospital Metropolitano San German,2
8,Encompass Health Rehabilitation Hospital of San Juan,66
9,Hospital San Carlos Borromeo,10
10,Hospital Menonita Ponce,0
11,Hospital Pavia Arecibo,41
12,Hospital Metropolitano Dr. Susoni,41
13,University Hospital,163
14,Bayamon Medical Center,182
15,Hospital San Pablo,152
16,Castaner General Hospital,0
17,Hospital Menonita De Cayey,33
18,Hospital Metropolitano,163
19,Hospital San Pablo Del Este HIMA Fajardo,19
20,Doctor's Center of Bayamon,182
21,Encompass Health Rehabilitation Hospital of Manati,39
22,Hospital Menonita Guayama,10
23,Auxilio Mutuo Hospital,172
24,Hospital Del Maestro,237
25,Hospital Menonita Humacao,27
26,Hospital HIMA de Humacao,18
27,Ryder Memorial Hospital,22
28,Hospital Pavia Yauco,6
29,Mennonite General Hospital,7
30,Hospital Perea,159
31,Bella Vista Hospital,4
32,Dr. Pila's Hospital,0
33,Hospital De Damas,57
34,St. Luke's Episcopal Hospital,29
35,Mayagüez Medical Center,8
36,Hospital Universitario Dr. Ramon Ruiz Arnau,16
37,Hospital de Psiquiatria,146
38,Doctors Center Manati,33
39,Hospital De La Concepcion,2
40,Hospital Psiquiatrico Metropolitano,31
41,Ashford Presbyterian Community Hospital,194
42,Professional Hospital Guaynabo,47
43,San Juan City Hospital,122
44,Metropolitano De La Montana,33
45,Hospital Menonita De Caguas,75
46,Hospital Episcopal San Lucas Metro,46
47,Hospital San Antonio,150
48,Hospital de Psiquiatria Forense,18
49,Veterans Affairs Caribbean Healthcare System,67
50,San Juan Capestrano Hospital,95
51,Doctors' Center Hospital San Juan,177
52,"Hospital Centro Comprensivo de Cáncer, Universidad de Puerto Rico",133
53,Hospital de la Universidad de Puerto Rico/Dr. Federico Trilla,58
54,Multy Medical Rehabilitation Hospital San Juan,159
55,Hospital Pavia-Hato Rey,227
56,Hospital Pavia-Santurce,222
57,San Jorge Children's and Women Hospital,237
58,I. Gonzalez Martinez Oncologic Hospital,108
59,Industrial Hospital,146
60,First Hospital Panamericano,13
61,University Pediatric Hospital,108
62,Caribbean Medical Center,28
63,Centro De Salud Conductual Menonita-CIMA,19
64,Hospital Psiquiatrico Correccional,179
65,Hospital Cuidado Agudo Especializado En Pacientes Politraumatizados,167
66,Schneider Regional Medical Center,24
67,Governor Juan F. Luis Hospital,11
68,Guam Memorial Hospital Authority,15
69,U. S. Naval Hospital Guam,17
70,Guam Regional Medical City,34
71,Lyndon B. Johnson Tropical Medical Center,3
72,Commonwealth Health Center,25
73,Northern Light Acadia Hospital,17
74,Mid Coast Hospital,4
75,Northern Light Mercy Hospital,32
76,Riverview Psychiatric Center,4
77,Dorothea Dix Psychiatric Center,6
78,Northern Light Eastern Maine Medical Center,18
79,St. Joseph Hospital,17
80,Mount Desert Island Hospital,21
81,Waldo County General Hospital,11
82,Northern Light Blue Hill Hospital,1
83,Bridgton Hospital,3
84,Calais Community Hospital,0
85,Cary Medical Center,1
86,Northern Light Mayo Hospital,4
87,Northern Light Maine Coast Hospital,11
88,Franklin Memorial Hospital,22
89,Northern Maine Medical Center,0
90,Northern Light CA Dean Hospital,4
91,Houlton Regional Hospital,6
92,LincolnHealth,2
93,Central Maine Medical Center,18
94,Southern Maine Health Care - Biddeford Medical Center,12
95,St. Mary's Regional Medical Center,20
96,Down East Community Hospital,1
97,Millinocket Regional Hospital,2
98,Stephens Memorial Hospital,8
99,Penobscot Valley Hospital,1
100,Northern Light Sebasticook Valley Hospital,2
101,Maine Medical Center,75
102,New England Rehabilitation Hospital of Portland,18
103,Northern Light AR Gould Hospital,1
104,Pen Bay Medical Center,1
105,Rumford Hospital,3
106,Redington-Fairview General Hospital,11
107,Maine Veterans Affairs Medical Center,1
108,MaineGeneral Medical Center,6
109,Northern Light Inland Hospital,9
110,Spring Harbor Hospital,5
111,York Hospital,17
112,Portsmouth Regional Hospital,30
113,Encompass Health Rehabilitation Hospital of Concord,11
114,Androscoggin Valley Hospital,1
115,Valley Regional Hospital,1
116,Upper Connecticut Valley Hospital,0
117,Concord Hospital,9
118,New Hampshire Hospital,20
119,Wentworth-Douglass Hospital,2
120,Parkland Medical Center,5
121,Exeter Hospital,22
122,Concord Hospital - Franklin,19
123,Hampstead Hospital,3
124,Dartmouth-Hitchcock Medical Center,8
125,Cheshire Medical Center,6
126,Concord Hospital - Laconia,32
127,Weeks Medical Center,0
128,Alice Peck Day Memorial Hospital,11
129,Catholic Medical Center,81
130,Littleton Regional Healthcare,4
131,Elliot Hospital,45
132,Manchester Veterans Affairs Medical Center,35
133,Southern New Hampshire Medical Center,63
134,St. Joseph Hospital,17
135,New London Hospital,0
136,Memorial Hospital,4
137,Monadnock Community Hospital,1
138,Speare Memorial Hospital,6
139,Northeast Rehabilitation Hospital,3
140,Frisbie Memorial Hospital,12
141,Huggins Hospital,4
142,Cottage Hospital,3
143,University of Vermont Medical Center,45
144,The University of Vermont Health Network Central Vermont Medical Center,11
145,Southwestern Vermont Medical Center,4
146,Brattleboro Memorial Hospital,21
147,Brattleboro Retreat,14
148,The University of Vermont Health Network Porter Medical Center,0
