From Current Year File,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALL HOSPITALS WITH SELECTED DATA FIELDS (FY2022 Data),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: AHA DataQuery™, FY2022/Current Year Data. Copyrighted and licensed by Health Forum LLC, an American Hospital Association company, Chicago, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List created by Alyssa Vincent on May 3, 2024, AHA Resource Center, (312) 422-2008, avincent@aha.org",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"We used the most current information available, which includes 2022 data; some hospitals added since the 2022 survey was completed will not have complete data. Additionally, some hospitals may have closed and have been removed from the data.  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,AHA ID,Medicare Provider ID,Hospital Name,Address,City,State,Zip,Area code,Local telephone number,Web address,Contract managed hospital,Management organization name,Management organization city,Management organization state,Community hospital designation for Stats,Census Bureau codes,County,Latitude,Longitude,Control / Ownership Type,Operates subsidiary corps.,Primary Service,System ID,System Name,System Address,System City,System State,System Zip,System phone,System Primary Contact,System Contact Title,Chief Admin. Name,Air ambulance services - hospital,Air ambulance services - health system,Air ambulance services - joint venture,Ambulance services,Ambulance services - health system,Ambulance services - joint venture,Trauma center certified level,Does your hospital/health system have a significant partnership with an insurer or an insurance company/health plan?,Total Capital Expenditures,Emergency medicine (TE),Hospitalist (TE),Intensivist (TE),Obstetrics/gynecology (TE),Other specialists (TE),Primary care (TE),Radiologists/pathologist/anesthesiologist (TE),Total Physicians (TE)
CY,6030010,,Kwajalein Hospital,U S Army Kwajalein Atoll,Kwajalein Atoll,Marshall Islands,96555,805,3552225,,,,,,No,68020,,8.7167,167.7333,Department of Defense (federal),,General medical and surgical,5999395,"Department of the Army, Office of the Surgeon General",7700 Arlington Boulevard Suite 4SW112,Falls Church,VA,22042-2929,(703)681-3000,"Mary K. Izaguirre, MD",Surgeon General of the Army,"Elaine McMahon, Administrator",,,,,,,,,,,,,,,,,
CY,6040001,400115,Wilma N. Vazquez Medical Center,"KM 39 1/2 Road 2, Call Box 7001",Vega Baja,Puerto Rico,00694,787,8581580,,,,,,No,72145,"Vega Alta, PR",18.4533,-66.4069,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Jos� M. Talavera Reyes, Administrator",,,,,,,,,,,,,,,,,
CY,6040002,400098,Hospital San Francisco,371 Avenida De Diego,San Juan,Puerto Rico,00923-1711,787,7675100,http://www.metropavia.com/SanFrancisco.cfm,,,,,No,72127,"San Juan, PR",18.3986,-66.0389,Investor-owned; for-profit - Corporation,,General medical and surgical,5999605,United Medical Corporation,603 Main Street,Windermere,FL,34786-3548,(407)876-2200,Donald R Dizney,Chairman and Chief Executive Officer,"Alberto Villafa�e, Administrator",,,,,,,,,,,,,,,,,
CY,6040004,400120,HIMA San Pablo Caguas,Avenida Munoz Marin,Caguas,Puerto Rico,00726,787,6533434,http://himasanpablo.com,,,,,No,72025,"Caguas, PR",18.2381,-66.0372,Investor-owned; for-profit - Partnership,,General medical and surgical,,,,,,,,,,"Andre Rodriguez, Administrator",,,,,,,,,,,,,,,,,
CY,6040005,400079,Hospital Buen Samaritano,Carr #2 Km 141-1 Ave Severiano Cuevas,Aguadilla,Puerto Rico,00603,787,6580000,http://www.hbspr.org,,,,,No,72005,"Aguadilla, PR",18.4553,-67.1319,Nongovt. (not-for-profit) - Other,,General medical and surgical,,,,,,,,,,"Giselle K. Van Derdys Arroyo, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040006,400124,Cardiovascular Center of Puerto Rico and the Caribbean,Americo Miranda Centro Medico,San Juan,Puerto Rico,00936,787,7548500,http://www.cardiovascular.gobierno.pr,No,,,,No,72127,"San Juan, PR",18.4174,-66.0761,Govt. (non federal) - State,No,General medical and surgical,5990011,Puerto Rico Department of Health,Building 'A' - Medical Center,San Juan,PR,00936,(787)765-2929,"Carlos Mellado, MD",Secretary of Health,"Javier Marrero Marrero, Executive Director",No,No,No,No,No,No,,No,,,,,,,,,
CY,6040007,400114,Hospital Manati Medical Center,"Calle Hernandez, Carrion 668",Manati,Puerto Rico,00674,787,6213700,http://www.manatimedical.com,,,,,No,72091,"Manati, PR",18.4276,-66.4843,Investor-owned; for-profit - Corporation,,General medical and surgical,,,,,,,,,,"Ildefonso Vargas, Executive Director",,,,,,,,,,,,,,,,,
CY,6040008,400126,Hospital Metropolitano San German,Calle Javilla Al Costado Parque de Bombas,San German,Puerto Rico,00683,787,8925300,,,,,,No,72125,"San German, PR",18.0926,-67.0404,Investor-owned; for-profit - Corporation,,Other specialty,,,,,,,,,,"Winston Ram�rez Delgado, Executive Director",,,,,,,,,,,,,,,,,
CY,6040009,403025,Encompass Health Rehabilitation Hospital of San Juan,"University Hospital, 3rd Floor",San Juan,Puerto Rico,00923,787,2745100,http://www.healthsouthsanjuan.com,,,,,No,72127,"San Juan, PR",18.4102,-66.0365,Investor-owned; for-profit - Corporation,,Rehabilitation,5990023,Encompass Health Corporation,9001 Liberty Parkway,Birmingham,AL,35242-7509,(205)967-7116,Mark J Tarr,President and Chief Executive Officer,"Daniel Del Castillo, Chief Executive Officer",,,,,,,,,,,,,,,,,
CY,6040011,400111,Hospital San Carlos Borromeo,550 Concepcion Vera Ayala,Moca,Puerto Rico,00676,787,8778000,http://www.hscbpr.org,,,,,No,72099,"Moca, PR",18.3847,-67.089,Nongovt. (not-for-profit) - Other,,General medical and surgical,,,,,,,,,,"Sarah I. Villanueva Cabrera, Acting Executive Director",,,,,,,,,,,,,,,,,
